City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Katsuura,JP,2021-10-09 20:43:44,35.1333,140.3,69.19,85,28,2.95
68,Saint-Philippe,RE,2021-10-09 20:43:44,-21.3585,55.7679,71.19,85,44,15.66
69,Punta Alta,AR,2021-10-09 20:43:44,-38.8759,-62.0736,68.18,43,0,12.03
70,Ribeira Grande,PT,2021-10-09 20:43:45,38.5167,-28.7,72.0,78,20,18.41
71,Port Alfred,ZA,2021-10-09 20:41:17,-33.5906,26.891,60.67,72,5,17.85
72,Avarua,CK,2021-10-09 20:42:49,-21.2078,-159.775,77.05,65,20,8.05
73,Fredericksburg,US,2021-10-09 20:41:22,38.3032,-77.4605,72.72,77,90,1.01
74,Weymouth,US,2021-10-09 20:39:15,42.2209,-70.9398,62.82,73,75,1.99
75,Faanui,PF,2021-10-09 20:43:46,-16.4833,-151.75,78.3,70,9,5.3
76,Sistranda,NO,2021-10-09 20:43:22,63.7256,8.834,56.89,92,100,16.49
77,Port Elizabeth,ZA,2021-10-09 20:43:19,-33.918,25.5701,58.1,73,4,13.76
78,Port Augusta,AU,2021-10-09 20:43:46,-32.5,137.7667,55.54,74,100,17.9
79,Arlit,NE,2021-10-09 20:43:46,18.7369,7.3853,88.32,9,32,8.97
80,Hyeres,FR,2021-10-09 20:43:47,43.1167,6.1167,63.25,80,90,3.44
81,Puerto Ayora,EC,2021-10-09 20:41:09,-0.7393,-90.3518,78.76,85,90,7.0
82,Portland,US,2021-10-09 20:39:57,45.5234,-122.6762,64.58,71,75,1.01
83,Bethel,US,2021-10-09 20:43:47,41.3712,-73.414,65.35,82,90,1.99
84,Riwaka,NZ,2021-10-09 20:43:48,-41.0833,173.0,58.59,69,7,2.59
85,Tucumcari,US,2021-10-09 20:43:48,35.1717,-103.725,91.24,15,1,26.46
86,Port Hardy,CA,2021-10-09 20:42:20,50.6996,-127.4199,50.18,93,90,6.91
87,Fortuna,US,2021-10-09 20:43:48,40.5982,-124.1573,70.2,57,5,1.99
88,Marawi,PH,2021-10-09 20:43:49,7.9986,124.2928,64.65,90,100,4.12
89,Kolokani,ML,2021-10-09 20:43:49,13.5728,-8.0339,84.18,38,14,2.59
90,George,ZA,2021-10-09 20:43:49,-33.963,22.4617,51.35,87,40,3.44
91,Prescott,US,2021-10-09 20:41:12,34.54,-112.4685,70.38,23,1,1.99
92,Qaqortoq,GL,2021-10-09 20:43:50,60.7167,-46.0333,36.1,83,6,1.57
93,Montrose,US,2021-10-09 20:41:44,38.4166,-108.2673,54.81,26,4,15.7
94,Freeport,US,2021-10-09 20:43:02,40.6576,-73.5832,68.58,70,90,7.0
95,Pisco,PE,2021-10-09 20:41:44,-13.7,-76.2167,67.01,72,0,9.22
96,Egvekinot,RU,2021-10-09 20:43:50,66.3167,-179.1667,18.43,85,100,6.46
97,Iqaluit,CA,2021-10-09 20:43:03,63.7506,-68.5145,35.33,93,90,4.0
98,Canmore,CA,2021-10-09 20:43:51,51.0834,-115.3521,61.75,30,47,11.5
99,Chipinge,ZW,2021-10-09 20:43:51,-20.1883,32.6236,67.84,55,0,5.3
100,Las Tunas,CU,2021-10-09 20:43:51,20.9617,-76.9511,87.93,70,100,1.63
