City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
233,Charters Towers,AU,73.65,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
234,Pinotepa Nacional,MX,78.57,overcast clouds,16.3167,-98.0167,Hotel Maria Del Carmen
235,Naco,MX,85.08,clear sky,31.3347,-109.9483,Motel Colonial
237,Ixtapa,MX,90.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
238,Cabo San Lucas,MX,96.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
241,Sibolga,ID,77.07,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
242,Gat,IL,73.81,clear sky,31.61,34.7642,OlusHome
247,Nishihara,JP,81.68,light intensity shower rain,26.1842,127.7558,Minshuku Agaihama
250,Guerrero Negro,MX,75.42,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
252,Nouadhibou,MR,71.94,overcast clouds,20.931,-17.0347,El Medina
256,Wanning,CN,78.1,overcast clouds,18.8003,110.3967,Paradise Hotel
257,Kidal,ML,85.5,clear sky,18.4411,1.4078,
260,Estelle,US,86.0,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
261,Garhi Khairo,PK,82.0,clear sky,28.0606,67.9803,Old Hostel Garhi Khairo
262,Ballina,AU,75.38,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
263,Kaduqli,SD,78.42,clear sky,11.0167,29.7167,فندق الله جابو
264,Riohacha,CO,87.19,clear sky,11.5444,-72.9072,Hotel Taroa
265,Champerico,GT,88.36,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
268,Axim,GH,78.28,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
272,Mangrol,IN,81.41,broken clouds,21.1167,70.1167,Hotel The Royal Honours
275,Lazaro Cardenas,MX,85.39,broken clouds,17.9583,-102.2,quinta antigua
277,Port Macquarie,AU,71.89,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
279,Maragogi,BR,75.6,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
287,Pangoa,PE,75.06,overcast clouds,-12.1167,-73.0,
288,Gondanglegi,ID,74.32,broken clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
289,Bandarbeyla,SO,78.12,overcast clouds,9.4942,50.8122,JABIR HOTEL
292,Tukrah,LY,74.05,clear sky,32.5341,20.5791,Lagrota restaurant
297,Buala,SB,83.1,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
300,Kununurra,AU,76.98,few clouds,-15.7667,128.7333,Hotel Kununurra
305,Noumea,NC,76.98,few clouds,-22.2763,166.4572,Hôtel Le Lagon
309,Bengkulu,ID,76.41,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
310,Merauke,ID,79.23,overcast clouds,-8.4667,140.3333,
311,Roebourne,AU,74.08,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
312,Samarai,PG,79.68,overcast clouds,-10.6167,150.6667,Nuli Sapi
316,Tessalit,ML,85.62,overcast clouds,20.1986,1.0114,
318,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
319,Kollo,NE,92.53,broken clouds,13.3043,2.339,
320,Edd,ER,89.02,overcast clouds,13.9297,41.6925,
322,Kupang,ID,76.89,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
323,Santa Cruz De La Palma,ES,71.74,clear sky,28.6835,-17.7642,H10 Taburiente Playa
325,Oriximina,BR,87.4,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
326,Placido De Castro,BR,85.8,overcast clouds,-10.3353,-67.1856,Hotel Carioca
327,Touros,BR,79.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
328,Amapa,BR,72.41,moderate rain,1.0,-52.0,
329,Darnah,LY,73.04,clear sky,32.767,22.6367,فندق الفردوس
333,West Lafayette,US,81.91,broken clouds,40.4259,-86.9081,Hilton Garden Inn West Lafayette Wabash Landing
334,Beira,MZ,73.36,clear sky,-19.8436,34.8389,Beira Terrace Hotel
335,Gemena,CD,73.2,light rain,3.25,19.7667,Hôtel Goshen
336,Arlit,NE,86.11,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
337,Sarangani,PH,84.15,overcast clouds,5.4033,125.4636,Ballistic Islet
342,Iquitos,PE,80.64,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
343,Lorengau,PG,81.03,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
348,Saginaw,US,73.69,clear sky,43.3334,-84.0333,
349,Iztapa,GT,86.05,thunderstorm,13.9333,-90.7075,Villas de Puerto Viejo
350,Nelson Bay,AU,77.29,few clouds,-32.7167,152.15,Mantra Nelson Bay
351,Adrar,MR,88.59,overcast clouds,20.5022,-10.0711,
352,Luganville,VU,79.07,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
358,Kasongo,CD,70.59,overcast clouds,-4.45,26.6667,Guest Hôtel
359,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
360,Alindao,CF,71.49,light rain,5.0267,21.2088,OCHA Alindao
364,Luwuk,ID,76.6,light rain,-0.9516,122.7875,Hotel Santika Luwuk
367,Vila Franca Do Campo,PT,70.21,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
368,Seoul,KR,72.84,overcast clouds,37.5683,126.9778,Lotte Hotel Seoul
371,Sultepec,MX,71.49,broken clouds,18.8667,-99.95,Hotel 7 Espadas
375,Thyolo,MW,70.95,clear sky,-16.0678,35.1405,Chawani Bungalow
376,Tabat,ID,74.32,overcast clouds,-2.635,115.2274,Perumahan PNS Senga Permai
378,Rincon,US,80.51,scattered clouds,32.296,-81.2354,Days Inn Rincon
379,Poya,NC,76.51,clear sky,-21.35,165.15,
383,Sabha,LY,77.27,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
384,Torit,SS,73.62,scattered clouds,4.4133,32.5678,Diplomat Guest House
388,Anloga,GH,80.55,overcast clouds,5.7947,0.8973,Pin Drop Hotel
393,Itaituba,BR,85.69,broken clouds,-4.2761,-55.9836,Hotel Campos
394,Loveland,US,72.91,clear sky,40.3978,-105.075,La Quinta Inn & Suites by Wyndham Loveland
397,Pamanukan,ID,79.03,broken clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
399,Desur,IN,78.3,overcast clouds,12.4333,79.4833,Hotel N H
401,Sampit,ID,74.21,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
402,Altamira,BR,83.97,broken clouds,-3.2033,-52.2064,Requinte Hotel
403,Tutoia,BR,80.44,overcast clouds,-2.7619,-42.2744,Pousada Guará's
404,Sao Filipe,CV,80.56,clear sky,14.8961,-24.4956,Hotel Xaguate
408,Taoudenni,ML,93.6,overcast clouds,22.6783,-3.9836,
409,Santa Isabel Do Rio Negro,BR,82.33,overcast clouds,-0.4139,-65.0192,Hotel GSA
411,Pathein,MM,76.44,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
414,Ukiah,US,76.86,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
417,Bardiyah,LY,74.64,clear sky,31.7561,25.0865,بورتو بردية
418,Hobyo,SO,78.12,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
419,Buraydah,SA,77.63,clear sky,26.326,43.975,فندق راحة السلام
420,Jales,BR,83.93,very heavy rain,-20.2689,-50.5458,Geraldelli Center Hotel
422,Veraval,IN,81.55,broken clouds,20.9,70.3667,Lords Inn Somnath
423,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
431,Kasiri,SL,78.39,moderate rain,8.9412,-13.1148,
432,Saint Marys,US,84.22,clear sky,30.7305,-81.5465,Spencer House Inn
438,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
444,Paraiso,CR,72.88,scattered clouds,9.8383,-83.8656,Rinconcito Verde
445,Chemax,MX,81.93,broken clouds,20.65,-87.9333,"Hotel ""Don Roger"""
448,Felipe Carrillo Puerto,MX,85.78,overcast clouds,19.5833,-88.05,Hotel La Ceiba
449,Masumbwe,TZ,72.12,scattered clouds,-3.6333,32.1833,Ngabanya Logde & Filling Station
450,Nha Trang,VN,78.8,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
455,Shimoda,JP,73.51,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
456,Thinadhoo,MV,82.87,overcast clouds,0.5333,72.9333,
457,Pauini,BR,87.01,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
460,Luz,BR,74.66,light rain,-19.8014,-45.6856,Hotel Turista
461,Puerto Escondido,MX,82.58,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
464,Sorong,ID,78.53,broken clouds,-0.8833,131.25,waigo splash hotel
469,San Patricio,US,90.28,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
470,Wajima,JP,71.51,scattered clouds,37.4,136.9,Wajiima Onsen Yashio
471,Hamilton,US,80.83,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
472,Alofi,NU,77.97,overcast clouds,-19.0595,-169.9187,Taloa Heights
473,Pangkalanbuun,ID,74.41,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
475,Calama,CL,70.29,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
477,Saint-Joseph,RE,70.18,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
479,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
480,Moura,PT,70.41,overcast clouds,38.1401,-7.4486,Hotel de Moura
481,Nhulunbuy,AU,81.21,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
483,Sarankhola,BD,77.92,clear sky,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
484,Marzuq,YE,76.44,scattered clouds,14.4,46.4667,
486,Aripuana,BR,86.07,overcast clouds,-9.1667,-60.6333,
488,Moree,AU,72.64,scattered clouds,-29.4667,149.85,Molika Springs Motel
491,Kisangani,CD,74.41,light rain,0.5167,25.2,Grand Ramela Hotel
492,Sinnamary,GF,82.02,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
494,San Policarpo,PH,80.31,heavy intensity rain,12.1791,125.5072,Agapita M. Nicart
503,Jardim,BR,74.12,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
504,Ban Nahin,LA,74.26,overcast clouds,18.2418,104.2122,
506,Aplahoue,BJ,75.31,overcast clouds,6.9333,1.6833,Hotel ARNOGOS
511,Kirakira,SB,81.66,overcast clouds,-10.4544,161.9205,SanBiz Lodge
512,Mozarlandia,BR,94.71,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
513,Ribeira Do Pombal,BR,76.32,few clouds,-10.8344,-38.5358,Pousada Central
517,Nanakuli,US,84.15,light intensity drizzle,21.3906,-158.1547,Camp Pālehua
518,Sur,OM,82.96,clear sky,22.5667,59.5289,Sur Plaza Hotel
520,Nicoya,CR,87.35,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
521,Fare,PF,78.12,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
522,Jaysingpur,IN,72.66,overcast clouds,16.779,74.5564,Hotel Trust Inn
524,Mattru,SL,75.45,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
525,Saint-Louis,SN,88.77,overcast clouds,16.3333,-15.0,
526,Bosaso,SO,84.78,scattered clouds,11.2842,49.1816,Red Sea Hotel
530,Tagusao,PH,81.18,light rain,9.1924,117.8141,Toledo
534,Saint Anthony,US,77.31,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
537,Charagua,BO,76.57,moderate rain,-19.8,-63.2167,Hotel
540,Malakal,SS,76.24,light rain,9.5334,31.6605,Nile Palace Hotel
541,Machiques,VE,85.48,overcast clouds,10.0644,-72.545,hotel el markes
